[2024-05-07 18:16:37,152] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,156] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,159] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,162] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 102 with partition epoch 0, high watermark 102, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,162] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,166] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,170] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,174] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,178] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,181] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
